iter	f_val	grad_norm	x0	x1
304	0.04937097	0.24087979	0.77803527	0.60432584
305	0.04907355	0.24000552	0.77870468	0.60537139
306	0.04877830	0.23913600	0.77937121	0.60641334
307	0.04848520	0.23827122	0.78003488	0.60745171
308	0.04819423	0.23741114	0.78069572	0.60848651
309	0.04790537	0.23655575	0.78135375	0.60951776
310	0.04761860	0.23570502	0.78200899	0.61054548
311	0.04733391	0.23485890	0.78266146	0.61156969
312	0.04705127	0.23401736	0.78331116	0.61259040
313	0.04677066	0.23318033	0.78395812	0.61360764
314	0.04649208	0.23234778	0.78460235	0.61462142
315	0.04621549	0.23151966	0.78524385	0.61563177
316	0.04594088	0.23069594	0.78588267	0.61663870
317	0.04566824	0.22987657	0.78651880	0.61764222
318	0.04539754	0.22906155	0.78715228	0.61864235
319	0.04512877	0.22825084	0.78778313	0.61963910
320	0.04486191	0.22744441	0.78841135	0.62063250
321	0.04459694	0.22664224	0.78903698	0.62162255
322	0.04433386	0.22584429	0.78966001	0.62260928
323	0.04407263	0.22505051	0.79028047	0.62359269
324	0.04381325	0.22426087	0.79089836	0.62457282
325	0.04355570	0.22347532	0.79151371	0.62554968
326	0.04329996	0.22269384	0.79212653	0.62652328
327	0.04304601	0.22191640	0.79273684	0.62749363
328	0.04279385	0.22114297	0.79334465	0.62846076
329	0.04254346	0.22037352	0.79394998	0.62942467
330	0.04229481	0.21960803	0.79455286	0.63038537
331	0.04204790	0.21884647	0.79515328	0.63134290
332	0.04180270	0.21808881	0.79575128	0.63229726
333	0.04155922	0.21733501	0.79634685	0.63324846
334	0.04131742	0.21658504	0.79694001	0.63419653
335	0.04107730	0.21583887	0.79753079	0.63514148
336	0.04083884	0.21509648	0.79811918	0.63608332
337	0.04060203	0.21435782	0.79870522	0.63702207
338	0.04036685	0.21362288	0.79928891	0.63795774
339	0.04013329	0.21289162	0.79987026	0.63889034
340	0.03990134	0.21216404	0.80044930	0.63981989
341	0.03967097	0.21144010	0.80102603	0.64074641
342	0.03944219	0.21071976	0.80160048	0.64166990
343	0.03921497	0.21000302	0.80217264	0.64259039
344	0.03898931	0.20928982	0.80274254	0.64350788
345	0.03876518	0.20858016	0.80331019	0.64442240
346	0.03854258	0.20787399	0.80387560	0.64533395
347	0.03832149	0.20717130	0.80443878	0.64624255
348	0.03810190	0.20647206	0.80499976	0.64714820
349	0.03788380	0.20577625	0.80555853	0.64805094
350	0.03766718	0.20508384	0.80611512	0.64895076
351	0.03745202	0.20439481	0.80666954	0.64984768
352	0.03723831	0.20370914	0.80722180	0.65074172
353	0.03702604	0.20302680	0.80777191	0.65163288
354	0.03681520	0.20234776	0.80831988	0.65252118
